trial,item_no,item_id,type,expset,condition,social_context,target_context,register_match,grammatical,context,critical,sentence,picture1,picture2,picture3,picture4,context_norm
72,34,34,critical,WP1,d,high,low,mismatch,yes,Unermesslich wohlerzogen*frohlockt*Elisabeth:,Ich*trinke*später*meine Brause*in dem Lokal.,Welches Bild passt am besten zu dem vorherigen Satz?,Brause-1.jpg,Schorle-1.jpg,Waelzer-1.jpg,Buecher-1.jpg,Unermesslich wohlerzogen frohlockt Elisabeth:
73,40,40,critical,WP1,d,high,low,mismatch,yes,Leger verweilend*ersinnt*Sabine:,Ich*trage*jetzt*meine Schlappen*in der Villa.,Welches Bild passt am besten zu dem vorherigen Satz?,Schlappen-1.jpg,Hausschuhe-1.jpg,Absteige-1.jpg,Pension-1.jpg,Leger verweilend ersinnt Sabine:
74,54,14,filler,SocStat,b,high,high,match,no,Herr Meyers Tätigkeit*als Disponent*verlangt*analytische Fähigkeiten.,"Ich*vermute,*dass*die Bahn*wegen das heikle Spiel*überfüllt ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler14_socstat_related_1.jpg,Filler14_socstat_related_2.jpg,Filler14_socstat_unrelated_1.jpg,Filler14_socstat_unrelated_2.jpg,Herr Meyers Tätigkeit als Disponent verlangt analytische Fähigkeiten.
75,32,32,critical,WP1,d,high,low,mismatch,yes,Grandios geschult*prophezeit*Klaus:,Ich*verschreibe*bald*meine Pillen*auf einem Zettel.,Welches Bild passt am besten zu dem vorherigen Satz?,Pillen-1.jpg,Arznei-1.jpg,Knarre-1.jpg,Pistole-1.jpg,Grandios geschult prophezeit Klaus:
76,70,6,filler,WP2,g,high,high,match,yes,Der Bürgermeister*proklamierte*in dem Amtsblatt:,Der Detektiv*überlistete*den Gauner.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler6_WP2_related_1.jpg,Filler6_WP2_related_2.jpg,Filler6_WP2_unrelated_1.jpg,Filler6_WP2_unrelated_2.jpg,Der Bürgermeister proklamierte in dem Amtsblatt:
77,14,14,critical,WP1,f,high,low,mismatch,no,Außerordentlich präpariert*formuliert*Maria:,Ich*lackiere*später*meine Schnitten*bei dem Kosmetiksalon.,Welches Bild passt am besten zu dem vorherigen Satz?,Schnitten-1.jpg,Butterbrote-1.jpg,Klauen-1.jpg,Fingernaegel-1.jpg,Außerordentlich präpariert formuliert Maria:
78,6,6,critical,WP1,c,high,high,match,yes,Höchst strebsam*verlautbart*Moritz:,Ich*töpfere*später*meine Tassen*in dem Atelier.,Welches Bild passt am besten zu dem vorherigen Satz?,Tassen-1.jpg,Poette-1.jpg,Gemaecher-1.jpg,Kammern-1.jpg,Höchst strebsam verlautbart Moritz:
79,12,12,critical,WP1,f,high,low,mismatch,no,Dienlich geschult*kommentiert*Daniel:,Ich*striegel*gleich*meine Buxen*vor dem Manege.,Welches Bild passt am besten zu dem vorherigen Satz?,Buxen-1.jpg,Hosen-1.jpg,Gaule-1.jpg,Pferde-1.jpg,Dienlich geschult kommentiert Daniel:
80,88,28,filler,WP2,h,high,high,match,no,Die Erziehungsberechtigten*erzählten*dem Nachfahren:,Der Bruder*hintergehen*den Onkel.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler28_WP2_related_1.jpg,Filler28_WP2_related_2.jpg,Filler28_WP2_unrelated_1.jpg,Filler28_WP2_unrelated_2.jpg,Die Erziehungsberechtigten erzählten dem Nachfahren:
81,52,12,filler,SocStat,a,high,high,match,yes,Marc*muss*als Berufsmusiker*stets*flexibel sein.,"Ich*bin überzeugt,*dass*die Veranstaltung*wegen der lauten Störung*länger*dauert.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler12_socstat_related_1.jpg,Filler12_socstat_related_2.jpg,Filler12_socstat_unrelated_1.jpg,Filler12_socstat_unrelated_2.jpg,Marc muss als Berufsmusiker stets flexibel sein.
82,50,10,filler,SocStat,a,high,high,match,yes,Mein Papa*ist*Schreiner.,"Ich*befürchte,*dass*die Sanierung*wegen der schönen Umgebung*chancenlos ist.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler10_socstat_related_1.jpg,Filler10_socstat_related_2.jpg,Filler10_socstat_unrelated_1.jpg,Filler10_socstat_unrelated_2.jpg,Mein Papa ist Schreiner.
83,36,36,critical,WP1,d,high,low,mismatch,yes,Effizient autonom*deklariert*Vera:,Ich*montiere*später*meine Funzel*an die Zimmerdecke.,Welches Bild passt am besten zu dem vorherigen Satz?,Funzel-1.jpg,Lampe-1.jpg,Glubscher-1.jpg,Augen-1.jpg,Effizient autonom deklariert Vera:
84,86,24,filler,WP2,h,high,high,match,no,Die Hausherren*priesen*die Novität:,Der Gärtner*betören*den Gehilfen.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler24_WP2_related_1.jpg,Filler24_WP2_related_2.jpg,Filler24_WP2_unrelated_1.jpg,Filler24_WP2_unrelated_2.jpg,Die Hausherren priesen die Novität:
85,84,21,filler,WP2,h,high,high,match,no,Der Herold*verkündete*den Ehrenbürgern:,Der Landwirt*reizen*den Obsthändler.,Welches Bild passt am besten zu dem vorherigen Satz?,Filler21_WP2_related_1.jpg,Filler21_WP2_related_2.jpg,Filler21_WP2_unrelated_1.jpg,Filler21_WP2_unrelated_2.jpg,Der Herold verkündete den Ehrenbürgern:
86,44,4,filler,SocStat,a,high,high,match,yes,Als Justiziar*benötigt man*eine breite Expertise.,"Ich*nehme an,*dass*das Verfahren*wegen der harten Anklage*aufgenommen wurde.",Welches Bild passt am besten zu dem vorherigen Satz?,Filler4_socstat_related_1.jpg,Filler4_socstat_related_2.jpg,Filler4_socstat_unrelated_1.jpg,Filler4_socstat_unrelated_2.jpg,Als Justiziar benötigt man eine breite Expertise.
87,38,38,critical,WP1,d,high,low,mismatch,yes,Achtsam wohlmeinend*verbalisiert*Norbert:,Ich*verschütte*gleich*meine Plürre*auf das Tafeltuch.,Welches Bild passt am besten zu dem vorherigen Satz?,Pluerre-1.jpg,Getraenke-1.jpg,Griffel-1.jpg,Finger-1.jpg,Achtsam wohlmeinend verbalisiert Norbert:
87,28,28,critical,WP1,e,high,high,match,no,Meisterlich begabt*stimuliert*Susanna:,Ich*besaite*später*meine Kleider*in einem Musikgeschäft.,Welches Bild passt am besten zu dem vorherigen Satz?,Kleider-1.jpg,Fummel-1.jpg,Geige-1.jpg,Fiedel-1.jpg,Meisterlich begabt stimuliert Susanna:
